obs_id,target
265Sc-hi56873.06662,KIC 12024120
265Sc-hi56875.05834,KIC 12024120
265Sc-hi56882.06838,KIC 12024120
265Sc-hi56883.93122,KIC 12024120
265Sc-hi57211.90065,KIC 12024120
265Sc-hi57213.99742,KIC 12024120
265Sc-hi57229.85590,KIC 12024120
265Sc-hi57232.09904,KIC 12024120
265ScH1-hi55783.02238,KIC 12024120
265ScH1-hi55788.77107,KIC 12024120
265ScH1-hi55790.01887,KIC 12024120
265ScH1-hi55792.04785,KIC 12024120
265ScH1-hi55792.84105,KIC 12024120
265ScH1-hi55794.05861,KIC 12024120
265ScH1-hi55795.97331,KIC 12024120
265ScH1-hi55798.01281,KIC 12024120
265ScH1-hi55811.79133,KIC 12024120
265ScH1-hi56102.05366,KIC 12024120
265ScH1-hi56145.00068,KIC 12024120
265ScH1-hi56147.04384,KIC 12024120
265ScH1-hi56164.86515,KIC 12024120
265ScH1-hi56166.86892,KIC 12024120
546S-hi57207.08254,KIC 12058931
623S-hi55664.12452,KIC 12068975
623Sc-hi56910.91641,KIC 12068975
623Sc-hi57242.98203,KIC 12068975
1536S-hi55738.96927,KIC 12159249
153S-hi55405.97467,KIC 12252424
153Sc-hi56473.94764,KIC 12252424
153Sc-hi56476.89736,KIC 12252424
153Sc-hi56493.03329,KIC 12252424
153Sc-hi56523.75458,KIC 12252424
153Sc-hi56524.85331,KIC 12252424
153Sc-hi56828.97878,KIC 12252424
153Sc-hi56845.99711,KIC 12252424
153Sc-hi56865.97265,KIC 12252424
153Sc-hi56880.80246,KIC 12252424
153Sc-hi56883.02873,KIC 12252424
153Sc-hi56892.82306,KIC 12252424
153Sc-hi56895.03103,KIC 12252424
153Sc-hi56906.76287,KIC 12252424
153Sc-hi56909.79719,KIC 12252424
153Sc-hi56911.79378,KIC 12252424
